Official Name,NORAD Number,Nation,Operator,Users,Application,Detailed Purpose,Orbit,Class of Orbit,Type of Orbit,Period (minutes),Mass (kg),COSPAR Number,Date of Launch,Expected Lifetime (yrs),Equipment,Describe
1HOPSAT-TD (1st-generation High Optical Performance Satellite),44859,USA,Hera Systems,Commercial,Earth Observation,Technology Development,"566km × 576km, 36.9°",LEO,Non-Polar Inclined,96.08,22,2019-089H,11/12/2019,0.5,,Pathfinder for planned earth observation constellation.
3Cat-1,43728,Spain,Universitat Politècnica de Catalunya,Civil,Technology Development,,"476km × 500km, 97.4°",LEO,,95,4,2018-096K,29/11/2018,,,Student built.
Aalto-1 ,42775,Finland,Aalto University,Civil,Technology Development,,"497km × 517km, 97.45°",LEO,,94.7,5,2017-036L,23/06/2017,2,,Technology development and education.
AAUSat-4,41460,Denmark,University of Aalborg,Civil,Earth Observation,Automatic Identification System (AIS),"442km × 687km, 98.2°",LEO,Sun-Synchronous,95.9,1,2016-025E,25/04/2016,,,Carries AIS system.
"ABS-2 (Koreasat-8, ST-3)",39508,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,"35778km × 35793km, 0.08°",GEO,,1436.03,"6,330",2014-006A,06/02/2014,15,,"32 C-band, 51 Ku-band, and 6 Ka-band transponders. $214 million lawsuit for bad beam."
ABS-2A,41588,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,"35700km × 35700km, 0°",GEO,,1436.1,"1,800",2016-038A,15/06/2016,15,,
ABS-3A ,40424,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,"35788km × 35803km, 0.1°",GEO,,1436,"2,000",2015-010A,02/03/2015,15,,Coverage of Americas Europe and Africa.
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",28184,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,"35780km × 35793km, 0.01°",GEO,,1436.1,"4,143",2004-007A,13/03/2004,12,,Purchased by ABS in 2013.
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",25924,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,"35777km × 35794km, 0.01°",GEO,,1436.08,"2,894",1999-053A,26/09/1999,15,,"28 C-band, 16 Ku-band; business services, public voice and data services, broadcasting, direct-to-home; Eastern Europe, CIS, South and Southeast Asia, Africa, Middle East, Australia."
"ABS-7 (Koreasat 3, Mugungwha 3)",25894,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,"35780km × 35791km, 0.01°",GEO,,1436.06,"3,500",1999-046A,04/09/1999,15,,"30 Ku-band, 6 Ka-band; Korean peninsula, the Japanese archipelago, and parts of China and Russia."
"Advanced Orion 10 (Mentor, NRO L-44, USA 311)",47237,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,"35700km × 35800km, 0°",GEO,,1437.6,"5,400",2020-095A,11/12/2020,,,ELINT.
"Advanced Orion 4 (Mentor, NROL 6, USA 139)",25336,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,"35560km × 36013km, 7.72°",GEO,,1436.14,"5,200",1998-029A,09/05/1998,,,ELINT.
"Advanced Orion 5 (Mentor, NROL 19, USA 171)",27937,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,"35589km × 35984km, 3.2°",GEO,,1436.1,"5,200",2003-041A,09/09/2003,,,Electronic intelligence (ELINT). 
"Advanced Orion 6 (Mentor, NRO L-26, USA 202)",33490,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,"35714km × 35937km, 2.89°",GEO,,1438.8,"5,400",2009-001A,18/01/2009,,,ELINT.
"Advanced Orion 7 (Mentor, NRO L-32, USA 223)",37232,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,"35500km × 35500km, 0°",GEO,,1436,"5,000",2010-063A,21/11/2010,,,ELINT.
"Advanced Orion 8 (Mentor, NRO L-15, USA 237)",38528,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,"35771km × 35805km, 0°",GEO,,1436.1,"5,000",2012-034A,29/06/2012,,,ELINT.
"Advanced Orion 9 (Mentor, NRO L-37, USA 268)",41584,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,"35613km × 35903km, 7.51°",GEO,,1437.19,"5,000",2016-036A,11/06/2016,,,ELINT.
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)",38254,USA,US Air Force,Military,Communications,,"35772km × 35801km, 2.34°",GEO,,1436.1,"6,169",2012-019A,03/05/2012,14,,Second in constellation.
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",39256,USA,US Air Force,Military,Communications,,"35700km × 35803km, 4.2°",GEO,,1436.1,"6,169",2013-050A,18/09/2013,14,,Third in constellation.
"AEHF-4 (Advanced Extremely High Frequency satellite-4, USA 288)",43651,USA,US Air Force,Military,Communications,,"35781km × 35790km, 0.05°",GEO,,1436.1,"6,169",2018-079A,17/10/2018,,,
"AEHF-5 (Advanced Extremely High Frequency satellite-5, USA 292)",44481,USA,US Air Force,Military,Communications,,"35780km × 35810km, 6.4°",GEO,,1436.2,"6,169",2019-051A,08/08/2019,,,
"AEHF-6 (Advanced Extremely High Frequency satellite-6, USA 298)",45465,USA,US Air Force ,Military,Communications,,"35780km × 35780km, 0°",GEO,,1436,"6,169",2020-022B,26/03/2020,,,
Aeneas,38760,USA,Department of Homeland Security,Government,Technology Development,,"480km × 790km, 0.02°",LEO,Equatorial,97.4,3,2012-048C,13/09/2012,,,Demonstration program to track cargo containers worldwide.
Aeolus,43600,ESA,European Space Agency (ESA),Government,Earth Observation,Earth Science,"314km × 317km, 96.7°",LEO,,92.4,"1,367",2018-066A,22/08/2018,3,,"Aeolus will precisely measure wind flow and air currents on the Earth, improving weather forecasting, and ultimately our ability to protect the environment."
Aerocube 10A (Jimsat),44485,USA,Aerospace Corporation,Commercial,Technology Development,,"469km × 481km, 51.6°",LEO,Non-Polar Inclined,94.15,2,2019-022D,09/08/2019,,,
Aerocube 10B (Dougsat),44484,USA,Aerospace Corporation,Commercial,Technology Development,,"471km × 483km, 51.6°",LEO,Non-Polar Inclined,94.15,2,2019-022C,09/08/2019,,,
Aerocube 11A (TOMSat Eagle Scout),43861,USA,Aerospace Corporation,Commercial,Technology Development,,"495km × 511km, 85.03°",LEO,Polar,94.6,4,2018-104N,17/12/2018,,,Will test miniaturized imagers.
Aerocube 11B (TOMSat R3),43849,USA,Aerospace Corporation,Commercial,Technology Development,,"492km × 511km, 85.3°",LEO,Polar,94.6,4,2018-104A,17/12/2018,,,Will test miniaturized imagers.
Aerocube 12A,43556,USA,Aerospace Corporation,Commercial,Technology Development,,"481km × 487km, 51.6°",LEO,Non-Polar Inclined,94.2,4,2018-046C,16/07/2018,,,
Aerocube 12B,43557,USA,Aerospace Corporation,Commercial,Technology Development,,"481km × 487km, 51.6°",LEO,Non-Polar Inclined,94.2,4,2018-046D,16/07/2018,,,
Aerocube 14A,45114,USA,Aerospace Corporation,Military,Technology Development,,"459km × 474km, 51.6°",LEO,Non-Polar Inclined,93.9,,2019-071D,31/01/2020,,,"Demonstrate new star-tracker baffle technology, a variety of nanotechnology payloads, and test the perforance of advanced solar cells."
Aerocube 14B,45116,USA,Aerospace Corporation,Military,Technology Development,,"459km × 474km, 51.6°",LEO,Non-Polar Inclined,93.9,,2019-071F,31/01/2020,,,"Demonstrate new star-tracker baffle technology, a variety of nanotechnology payloads that will test new and emerging materials, including structural materials and thermal straps."
Aerocube 5C,40965,USA,Aerospace Corporation,Commercial,Technology Development,,"500km × 802km, 64.78°",LEO,Non-Polar Inclined,97.74,2,2015-058B,08/10/2015,,,"Demonstrate tracking technologies, optical communications and laser communication."
Aerocube 6A,40045,USA,Aerospace Corporation,Commercial,Technology Development,,"614km × 700km, 97.98°",LEO,Sun-Synchronous,97.88,5,2014-033AM,19/06/2014,3,,Technology development for cubesat constellation.
Aerocube 6B,40046,USA,Aerospace Corporation,Commercial,Technology Development,,"614km × 700km, 97.98°",LEO,Sun-Synchronous,97.88,5,2014-033AN,19/06/2014,3,,Technology development for cubesat constellation.
Aerocube 7A,40966,USA,Aerospace Corporation,Commercial,Technology Development,,"500km × 802km, 64.6°",LEO,Non-Polar Inclined,97.4,2,2015-058C,08/10/2015,,,
Aerocube 7B,43042,USA,Aerospace Corporation,Commercial,Technology Development,,"432km × 437km, 53.6°",LEO,Non-Polar Inclined,93.2,2,2017-071F,12/11/2017,,,
Aerocube 7C,43043,USA,Aerospace Corporation,Commercial,Technology Development,,"432km × 437km, 53.6°",LEO,Non-Polar Inclined,93.2,2,2017-071G,12/11/2017,,,
Aerocube 8A,40659,USA,Aerospace Corporation,Commercial,Technology Development,,"356km × 700km, 55°",LEO,Non-Polar Inclined,95.19,5,2015-025J,20/05/2015,,,
Aerocube 8B,40660,USA,Aerospace Corporation,Commercial,Technology Development,,"356km × 700km, 55°",LEO,Non-Polar Inclined,95.19,5,2015-025K,20/05/2015,,,
