Official Name,NORAD Number,Nation,Operator,Users,Application,Detailed Purpose,Orbit,Class of Orbit,Type of Orbit,Period (minutes),Mass (kg),International Designator,Date of Launch,Expected Lifetime (yrs),Equipment,Describe
1HOPSAT,44859,USA,Hera Systems,Commercial,Earth Observation,Technology Development,"566km × 576km, 36.9°",LEO,Non-Polar Inclined,96.08,22,,11/12/2019,0.5,,Pathfinder for planned earth observation constellation.
3Cat-1,43728,Spain,Universitat Politècnica de Catalunya,Civil,Technology Development,,"476km × 500km, 97.4°",LEO,,95,4,,29/11/2018,,,Student built.
Aalto-1,42775,Finland,Aalto University,Civil,Technology Development,,"497km × 517km, 97.45°",LEO,,94.7,5,,23/06/2017,2,,Technology development and education.
AAUSat-4,41460,Denmark,University of Aalborg,Civil,Earth Observation,Automatic Identification System (AIS),"442km × 687km, 98.2°",LEO,Sun-Synchronous,95.9,1,,25/04/2016,,,Carries AIS system.
ABS-2,39508,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,"35778km × 35793km, 0.08°",GEO,,1436.03,"6,330",,06/02/2014,15,,"32 C-band, 51 Ku-band, and 6 Ka-band transponders. $214 million lawsuit for bad beam."
ABS-2A,41588,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,"35700km × 35700km, 0°",GEO,,1436.1,"1,800",,15/06/2016,15,,
ABS-3A,40424,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,"35788km × 35803km, 0.1°",GEO,,1436,"2,000",,02/03/2015,15,,Coverage of Americas Europe and Africa.
ABS-4,28184,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,"35780km × 35793km, 0.01°",GEO,,1436.1,"4,143",,13/03/2004,12,,Purchased by ABS in 2013.
ABS-6,25924,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,"35777km × 35794km, 0.01°",GEO,,1436.08,"2,894",,26/09/1999,15,,"28 C-band, 16 Ku-band; business services, public voice and data services, broadcasting, direct-to-home; Eastern Europe, CIS, South and Southeast Asia, Africa, Middle East, Australia."
ABS-7,25894,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,"35780km × 35791km, 0.01°",GEO,,1436.06,"3,500",,04/09/1999,15,,"30 Ku-band, 6 Ka-band; Korean peninsula, the Japanese archipelago, and parts of China and Russia."
USA 139,25336,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,"35560km × 36013km, 7.72°",GEO,,1436.14,"4,500",,09/05/1998,,,ELINT.
USA 171,27937,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,"35589km × 35984km, 3.2°",GEO,,1436.1,"4,500",,09/09/2003,,,Electronic intelligence (ELINT). 
USA 202,33490,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,"35714km × 35937km, 2.89°",GEO,,1438.8,"5,000",,18/01/2009,,,ELINT.
USA 223,37232,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,"35500km × 35500km, 0°",GEO,,1436,"5,000",,21/11/2010,,,ELINT.
USA 237,38528,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,"35771km × 35805km, 0°",GEO,,1436.1,"5,000",,29/06/2012,,,ELINT.
USA 268,41584,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,"35613km × 35903km, 7.51°",GEO,,1437.19,"5,000",,11/06/2016,,,ELINT.
USA 235,38254,USA,US Air Force,Military,Communications,,"35772km × 35801km, 2.34°",GEO,,1436.1,"6,169",,03/05/2012,14,,Second in constellation.
USA 246,39256,USA,US Air Force,Military,Communications,,"35700km × 35803km, 4.2°",GEO,,1436.1,"6,169",,18/09/2013,14,,Third in constellation.
USA 288,43651,USA,US Air Force,Military,Communications,,"35781km × 35790km, 0.05°",GEO,,1436.1,"6,169",,17/10/2018,,,
USA 292,44481,USA,US Air Force,Military,Communications,,"35780km × 35810km, 6.4°",GEO,,1436.2,"6,169",,08/08/2019,,,
USA 298,45465,USA,US Air Force ,Military,Communications,,"35780km × 35780km, 0°",GEO,,1436,"6,169",,26/03/2020,,,
Aeneas,38760,USA,Department of Homeland Security,Government,Technology Development,,"480km × 790km, 0.02°",LEO,Equatorial,97.4,3,,13/09/2012,,,Demonstration program to track cargo containers worldwide.
Aeolus,43600,ESA,European Space Agency (ESA),Government,Earth Observation,Earth Science,"314km × 317km, 96.7°",LEO,,92.4,"1,367",,22/08/2018,3,,"Aeolus will precisely measure wind flow and air currents on the Earth, improving weather forecasting, and ultimately our ability to protect the environment."
Aerocube 10A,44485,USA,Aerospace Corporation,Commercial,Technology Development,,"469km × 481km, 51.6°",LEO,Non-Polar Inclined,94.15,2,,09/08/2019,,,
Aerocube 10B,44484,USA,Aerospace Corporation,Commercial,Technology Development,,"471km × 483km, 51.6°",LEO,Non-Polar Inclined,94.15,2,,09/08/2019,,,
Aerocube 11A,43861,USA,Aerospace Corporation,Commercial,Technology Development,,"495km × 511km, 85.03°",LEO,Polar,94.6,4,,17/12/2018,,,Will test miniaturized imagers.
Aerocube 11B,43849,USA,Aerospace Corporation,Commercial,Technology Development,,"492km × 511km, 85.3°",LEO,Polar,94.6,4,,17/12/2018,,,Will test miniaturized imagers.
Aerocube 12A,43556,USA,Aerospace Corporation,Commercial,Technology Development,,"481km × 487km, 51.6°",LEO,Non-Polar Inclined,94.2,4,,16/07/2018,,,
