Application,Class of Orbit,Date of Launch,Describe,Detailed Purpose,Equipment,Expected Lifetime (yrs),International Designator,Mass (kg),NORAD Number,Nation,Official Name,Operator,Orbit,Period (minutes),Type of Orbit,Users,_id
Earth Observation,LEO,11/12/2019,Pathfinder for planned earth observation constellation.,Technology Development,,0.5,,22,44859,USA,1HOPSAT,Hera Systems,"566km � 576km, 36.9�",96.08,Non-Polar Inclined,Commercial,60e5620c98df02cf357fffbc
Technology Development,LEO,29/11/2018,Student built.,,,,,4,43728,Spain,3Cat-1,Universitat Polit�cnica de Catalunya,"476km � 500km, 97.4�",95,,Civil,60e5620c98df02cf357fffbd
Technology Development,LEO,23/06/2017,Technology development and education.,,,2,,5,42775,Finland,Aalto-1,Aalto University,"497km � 517km, 97.45�",94.7,,Civil,60e5620c98df02cf357fffbe
Earth Observation,LEO,25/04/2016,Carries AIS system.,Automatic Identification System (AIS),,,,1,41460,Denmark,AAUSat-4,University of Aalborg,"442km � 687km, 98.2�",95.9,Sun-Synchronous,Civil,60e5620c98df02cf357fffbf
Communications,GEO,06/02/2014,"32 C-band, 51 Ku-band, and 6 Ka-band transponders. $214 million lawsuit for bad beam.",,,15,,"6,330",39508,Multinational,ABS-2,Asia Broadcast Satellite Ltd.,"35778km � 35793km, 0.08�",1436.03,,Commercial,60e5620c98df02cf357fffc0
Communications,GEO,15/06/2016,,,,15,,"1,800",41588,Multinational,ABS-2A,Asia Broadcast Satellite Ltd.,"35700km � 35700km, 0�",1436.1,,Commercial,60e5620c98df02cf357fffc1
Communications,GEO,02/03/2015,Coverage of Americas Europe and Africa.,,,15,,"2,000",40424,Multinational,ABS-3A,Asia Broadcast Satellite Ltd.,"35788km � 35803km, 0.1�",1436,,Commercial,60e5620c98df02cf357fffc2
Communications,GEO,13/03/2004,Purchased by ABS in 2013.,,,12,,"4,143",28184,Multinational,ABS-4,Asia Broadcast Satellite Ltd.,"35780km � 35793km, 0.01�",1436.1,,Commercial,60e5620c98df02cf357fffc3
Communications,GEO,26/09/1999,"28 C-band, 16 Ku-band; business services, public voice and data services, broadcasting, direct-to-home; Eastern Europe, CIS, South and Southeast Asia, Africa, Middle East, Australia.",,,15,,"2,894",25924,Multinational,ABS-6,Asia Broadcast Satellite Ltd.,"35777km � 35794km, 0.01�",1436.08,,Commercial,60e5620c98df02cf357fffc4
Communications,GEO,04/09/1999,"30 Ku-band, 6 Ka-band; Korean peninsula, the Japanese archipelago, and parts of China and Russia.",,,15,,"3,500",25894,Multinational,ABS-7,Asia Broadcast Satellite Ltd.,"35780km � 35791km, 0.01�",1436.06,,Commercial,60e5620c98df02cf357fffc5
Earth Observation,GEO,09/05/1998,ELINT.,Electronic Intelligence,,,,"4,500",25336,USA,USA 139,National Reconnaissance Office (NRO),"35560km � 36013km, 7.72�",1436.14,,Military,60e5620c98df02cf357fffc6
Earth Observation,GEO,09/09/2003,Electronic intelligence (ELINT). ,Electronic Intelligence,,,,"4,500",27937,USA,USA 171,National Reconnaissance Office (NRO),"35589km � 35984km, 3.2�",1436.1,,Military,60e5620c98df02cf357fffc7
Earth Observation,GEO,18/01/2009,ELINT.,Electronic Intelligence,,,,"5,000",33490,USA,USA 202,National Reconnaissance Office (NRO),"35714km � 35937km, 2.89�",1438.8,,Military,60e5620c98df02cf357fffc8
Earth Observation,GEO,21/11/2010,ELINT.,Electronic Intelligence,,,,"5,000",37232,USA,USA 223,National Reconnaissance Office (NRO),"35500km � 35500km, 0�",1436,,Military,60e5620c98df02cf357fffc9
Earth Observation,GEO,29/06/2012,ELINT.,Electronic Intelligence,,,,"5,000",38528,USA,USA 237,National Reconnaissance Office (NRO),"35771km � 35805km, 0�",1436.1,,Military,60e5620c98df02cf357fffca
Earth Observation,GEO,11/06/2016,ELINT.,Electronic Intelligence,,,,"5,000",41584,USA,USA 268,National Reconnaissance Office (NRO),"35613km � 35903km, 7.51�",1437.19,,Military,60e5620c98df02cf357fffcb
Communications,GEO,03/05/2012,Second in constellation.,,,14,,"6,169",38254,USA,USA 235,US Air Force,"35772km � 35801km, 2.34�",1436.1,,Military,60e5620c98df02cf357fffcc
Communications,GEO,18/09/2013,Third in constellation.,,,14,,"6,169",39256,USA,USA 246,US Air Force,"35700km � 35803km, 4.2�",1436.1,,Military,60e5620c98df02cf357fffcd
Communications,GEO,17/10/2018,,,,,,"6,169",43651,USA,USA 288,US Air Force,"35781km � 35790km, 0.05�",1436.1,,Military,60e5620c98df02cf357fffce
Communications,GEO,08/08/2019,,,,,,"6,169",44481,USA,USA 292,US Air Force,"35780km � 35810km, 6.4�",1436.2,,Military,60e5620c98df02cf357fffcf
Communications,GEO,26/03/2020,,,,,,"6,169",45465,USA,USA 298,US Air Force ,"35780km � 35780km, 0�",1436,,Military,60e5620c98df02cf357fffd0
Technology Development,LEO,13/09/2012,Demonstration program to track cargo containers worldwide.,,,,,3,38760,USA,Aeneas,Department of Homeland Security,"480km � 790km, 0.02�",97.4,Equatorial,Government,60e5620c98df02cf357fffd1
Earth Observation,LEO,22/08/2018,"Aeolus will precisely measure wind flow and air currents on the Earth, improving weather forecasting, and ultimately our ability to protect the environment.",Earth Science,,3,,"1,367",43600,ESA,Aeolus,European Space Agency (ESA),"314km � 317km, 96.7�",92.4,,Government,60e5620c98df02cf357fffd2
Technology Development,LEO,09/08/2019,,,,,,2,44485,USA,Aerocube 10A,Aerospace Corporation,"469km � 481km, 51.6�",94.15,Non-Polar Inclined,Commercial,60e5620c98df02cf357fffd3
Technology Development,LEO,09/08/2019,,,,,,2,44484,USA,Aerocube 10B,Aerospace Corporation,"471km � 483km, 51.6�",94.15,Non-Polar Inclined,Commercial,60e5620c98df02cf357fffd4
Technology Development,LEO,17/12/2018,Will test miniaturized imagers.,,,,,4,43861,USA,Aerocube 11A,Aerospace Corporation,"495km � 511km, 85.03�",94.6,Polar,Commercial,60e5620c98df02cf357fffd5
Technology Development,LEO,17/12/2018,Will test miniaturized imagers.,,,,,4,43849,USA,Aerocube 11B,Aerospace Corporation,"492km � 511km, 85.3�",94.6,Polar,Commercial,60e5620c98df02cf357fffd6
Technology Development,LEO,16/07/2018,,,,,,4,43556,USA,Aerocube 12A,Aerospace Corporation,"481km � 487km, 51.6�",94.2,Non-Polar Inclined,Commercial,60e5620c98df02cf357fffd7
Technology Development,LEO,16/07/2018,,,,,,4,43557,USA,Aerocube 12B,Aerospace Corporation,"481km � 487km, 51.6�",94.2,Non-Polar Inclined,Commercial,60e5620c98df02cf357fffd8
Technology Development,LEO,31/01/2020,"Demonstrate new star-tracker baffle technology, a variety of nanotechnology payloads, and test the perforance of advanced solar cells.",,,,,,45114,USA,Aerocube 14A,Aerospace Corporation,"459km � 474km, 51.6�",93.9,Non-Polar Inclined,Military,60e5620c98df02cf357fffd9
Technology Development,LEO,31/01/2020,"Demonstrate new star-tracker baffle technology, a variety of nanotechnology payloads that will test new and emerging materials, including structural materials and thermal straps.",,,,,,45116,USA,Aerocube 14B,Aerospace Corporation,"459km � 474km, 51.6�",93.9,Non-Polar Inclined,Military,60e5620c98df02cf357fffda
Technology Development,LEO,31/01/2020,"Demonstratae rapid development of a small-size, weight and power (SWAP), low-cost optical sensor in low earth orbit.",,,,,,45117,USA,Aerocube 15A,Aerospace Corporation,"458km � 474km, 51.6�",93.9,Non-Polar Inclined,Military,60e5620c98df02cf357fffdb
Technology Development,LEO,08/10/2015,"Demonstrate tracking technologies, optical communications and laser communication.",,,,,2,40965,USA,Aerocube 5C,Aerospace Corporation,"500km � 802km, 64.78�",97.74,Non-Polar Inclined,Commercial,60e5620c98df02cf357fffdc
Technology Development,LEO,19/06/2014,Technology development for cubesat constellation.,,,3,,5,40045,USA,Aerocube 6A,Aerospace Corporation,"614km � 700km, 97.98�",97.88,Sun-Synchronous,Commercial,60e5620c98df02cf357fffdd
Technology Development,LEO,19/06/2014,Technology development for cubesat constellation.,,,3,,5,40046,USA,Aerocube 6B,Aerospace Corporation,"614km � 700km, 97.98�",97.88,Sun-Synchronous,Commercial,60e5620c98df02cf357fffde
Technology Development,LEO,08/10/2015,,,,,,2,40966,USA,Aerocube 7A,Aerospace Corporation,"500km � 802km, 64.6�",97.4,Non-Polar Inclined,Commercial,60e5620c98df02cf357fffdf
Technology Development,LEO,12/11/2017,,,,,,2,43042,USA,Aerocube 7B,Aerospace Corporation,"432km � 437km, 53.6�",93.2,Non-Polar Inclined,Commercial,60e5620c98df02cf357fffe0
Technology Development,LEO,12/11/2017,,,,,,2,43043,USA,Aerocube 7C,Aerospace Corporation,"432km � 437km, 53.6�",93.2,Non-Polar Inclined,Commercial,60e5620c98df02cf357fffe1
Technology Development,LEO,20/05/2015,,,,,,5,40659,USA,Aerocube 8A,Aerospace Corporation,"356km � 700km, 55�",95.19,Non-Polar Inclined,Commercial,60e5620c98df02cf357fffe2
Technology Development,LEO,20/05/2015,,,,,,5,40660,USA,Aerocube 8B,Aerospace Corporation,"356km � 700km, 55�",95.19,Non-Polar Inclined,Commercial,60e5620c98df02cf357fffe3
Technology Development,LEO,11/11/2016,,,,,,5,41853,USA,Aerocube 8C,Aerospace Corporation,"569km � 584km, 97.9�",96.2,Sun-Synchronous,Commercial,60e5620c98df02cf357fffe4
Technology Development,LEO,11/11/2016,,,,,,2,41852,USA,Aerocube 8D,Aerospace Corporation,"572km � 584km, 98�",96.23,Sun-Synchronous,Commercial,60e5620c98df02cf357fffe5
Communications,GEO,20/12/2008,30 Ku-band transponders.,,,15,,"3,460",33460,Multinational,Eutelsat 48D,EUTELSAT S.A.,"35764km � 35808km, 0.12�",1436.08,,Commercial,60e5620c98df02cf357fffe6
Earth Observation,LEO,25/04/2007,Study noctilucent clouds (NLC) in the polar mesosphere. In 2011 the mission was extended through FY 2012.,Earth Science,,2,,215,31304,USA,AIM,"Center for Atmospheric Sciences, Hampton University/NASA","544km � 552km, 97.9�",96.2,Sun-Synchronous,Government,60e5620c98df02cf357fffe7
Communications,LEO,30/06/2014,Satellite equipped with AIS tracking.,Automatic Identification System (AIS),,,,14,40054,Germany,AISat-1,German Aerospace Center (DLR),"643km � 660km, 98.25�",97.76,Sun-Synchronous,Government,60e5620c98df02cf357fffe8
